Numero de processo,Orgaos de Fomento,Tipo,Ano inicio,Ano fim,Inicio,Fim,Edital,Titulo do Projeto,Valor Pedido,Valor Captado
"15,283",Furnas,P & D,2005,2008,1/6/05,6/5/08,ANEEL,Sistema de simula&ccedil;&atilde;o da incorpora&ccedil;&atilde;o de biomassa durante o enchimento de compartimentos de reservat&oacute;rios,"4,052,348.51","3,841,688.51"
01.10.0605.00,FINEP,Aux&iacute;lio &agrave; Pesquisa B&aacute;sica,2010,2013,11/25/10,11/25/13,CT-Aquavi&aacute;rio,STAL Sistema de Tratamento e Descontamina&ccedil;&atilde;o de &Aacute;gua de Lastro,"3,285,690.00","1,056,090.00"
486153/2006-1,CNPq,Universal,2006,2008,5/31/06,5/31/08,CNPq Universal,Simula&ccedil;&atilde;o de escoamentos multif&aacute;sicos em malhas n&atilde;o estruturadas,"49,889.20","45,889.20"
477701/2009-4,CNPq,Universal,2009,2011,11/1/09,10/31/11,CNPq Universal,Simula&ccedil;&atilde;o de escoamentos multif&aacute;sicos em malhas n&atilde;o estruturadas,"50,000.00","35,000.00"
473743/2011-6,CNPq,Universal,2012,2014,1/5/12,1/5/14,CNPq Universal,Sistema de tratamento e descontamina&ccedil;&atilde;o de &aacute;gua de lastro - valida&ccedil;&atilde;o de um pr&eacute;-prot&oacute;tipo de ondas eletromagn&eacute;ticas,"150,000.00","150,000.00"
455694/2012-5,CNPq,Apoio a Projetos de Pesquisa / Chamada CNPq/VALE S.A N° 05/2012 - FORMA-ENGENHARIA 2012,2012,2014,9/6/12,2/2/14,Apoio a Projetos de Pesquisa - Chamada CNPq-VALE S.A No. 05-2012 - FORMA-ENGENHARIA 2012,Sistema de tratamento e descontamina&ccedil;&atilde;o de &aacute;gua de lastro,"26,834.97","26,834.97"
550193/2012-0,CNPq,Chamada MCTI/CNPq/MCIDADES 11/2012,2012,2014,12/11/12,12/10/14,Chamada MCTI-CNPq-MCIDADES 11-2012,Desenvolvimento de sistema informatizado de apoio aos PMCMV e PAC-UAP,"149,916.98","149,916.98"
E-26/110.160/2007,FAPERJ,Aux&iacute;lio &agrave; Pesquisa B&aacute;sica,2007,2008,10/5/07,10/5/08,Apoio &agrave;s Universidades Estaduais do Rio de Janeiro,"Sistema de simula&ccedil;&atilde;o num&eacute;rica de produ&ccedil;&atilde;o, estocagem, transporte e consumo de derivados da decomposi&ccedil;&atilde;o de biomassa em reservat&oacute;rios","117,158.00","50,000.00"
E-26/110.453/2007,FAPERJ,Aux&iacute;lio &agrave; Pesquisa B&aacute;sica,2007,2008,11/13/07,11/13/08,Temas Priorit&aacute;rios para o Governo do Estado - PRIORIDADE RIO,"Sistema de simula&ccedil;&atilde;o num&eacute;rica de produ&ccedil;&atilde;o, estocagem, transporte e consumo de derivados da decomposi&ccedil;&atilde;o de biomassa em reservat&oacute;rios","299,798.00","299,798.00"
E-26/112.132/2008,FAPERJ,Aux&iacute;lio &agrave; Pesquisa B&aacute;sica,2008,2011,10/20/08,6/14/11,E_23 - ESTUDO DE SOLU&Ccedil;&Otilde;ES PARA MEIO AMBIENTE - RJ- 2008,"Sistema de simula&ccedil;&atilde;o num&eacute;rica de produ&ccedil;&atilde;o, estocagem, transporte e consumo de derivados da decomposi&ccedil;&atilde;o de biomassa em reservat&oacute;rios","329,904.91","329,904.91"
E-26/111.310/2008,FAPERJ,Aux&iacute;lio &agrave; Pesquisa B&aacute;sica,2008,2009,8/18/08,8/18/09,APQ1 - Aux&iacute;lio &agrave; pesquisa b&aacute;sica 2008-1,"Sistema de simula&ccedil;&atilde;o num&eacute;rica de produ&ccedil;&atilde;o, estocagem, transporte, consumo de derivados da decomposi&ccedil;&atilde;o de biomassa em reservat&oacute;rios","152,998.00","145,798.00"
